Date,Time,Temperature (F),Humdity,Wind Speed (mph),Rainfall (in),Condition,Visibility
2016-6-30,11:04 PM,78 °F,51 %,5 mph,0.0 in,Fair,10
2016-6-30,11:24 PM,77 °F,52 %,5 mph,0.0 in,Fair,10
2016-6-30,11:45 PM,77 °F,52 %,3 mph,0.0 in,Fair,10
2016-6-30,12:04 AM,77 °F,52 %,3 mph,0.0 in,Fair,10
2016-6-30,12:24 AM,77 °F,53 %,3 mph,0.0 in,Fair,10
2016-6-30,12:45 AM,75 °F,55 %,5 mph,0.0 in,Fair,10
2016-6-30,1:04 AM,75 °F,57 %,6 mph,0.0 in,Fair,10
2016-6-30,1:24 AM,74 °F,59 %,7 mph,0.0 in,Fair,10
2016-6-30,1:44 AM,73 °F,61 %,5 mph,0.0 in,Fair,10
2016-6-30,2:05 AM,73 °F,62 %,6 mph,0.0 in,Fair,10
2016-6-30,2:24 AM,72 °F,63 %,5 mph,0.0 in,Fair,10
2016-6-30,2:45 AM,72 °F,64 %,3 mph,0.0 in,Fair,10
2016-6-30,3:04 AM,71 °F,66 %,5 mph,0.0 in,Fair,10
2016-6-30,3:24 AM,71 °F,67 %,6 mph,0.0 in,Fair,10
2016-6-30,3:45 AM,70 °F,69 %,5 mph,0.0 in,Fair,10
2016-6-30,4:04 AM,70 °F,70 %,5 mph,0.0 in,Fair,10
2016-6-30,4:24 AM,69 °F,72 %,5 mph,0.0 in,Fair,10
2016-6-30,4:45 AM,69 °F,74 %,3 mph,0.0 in,Fair,10
2016-6-30,5:04 AM,69 °F,73 %,0 mph,0.0 in,Fair,10
2016-6-30,5:24 AM,70 °F,73 %,0 mph,0.0 in,Fair,10
2016-6-30,5:45 AM,71 °F,70 %,0 mph,0.0 in,Fair,10
2016-6-30,5:50 AM,72 °F,64 %,0 mph,0.0 in,Fair,10
2016-6-30,6:05 AM,72 °F,67 %,0 mph,0.0 in,Fair,10
2016-6-30,6:24 AM,73 °F,64 %,0 mph,0.0 in,Fair,10
2016-6-30,6:44 AM,74 °F,60 %,0 mph,0.0 in,Fair,10
2016-6-30,6:50 AM,75 °F,57 %,0 mph,0.0 in,Fair,10
2016-6-30,7:05 AM,75 °F,59 %,0 mph,0.0 in,Fair,10
2016-6-30,7:24 AM,77 °F,55 %,0 mph,0.0 in,Fair,10
2016-6-30,7:44 AM,79 °F,53 %,0 mph,0.0 in,Haze,10
2016-6-30,7:50 AM,79 °F,51 %,0 mph,0.0 in,Fair,10
2016-6-30,8:05 AM,81 °F,49 %,0 mph,0.0 in,Fair,10
2016-6-30,8:24 AM,83 °F,45 %,3 mph,0.0 in,Fair,10
2016-6-30,8:45 AM,84 °F,43 %,5 mph,0.0 in,Fair,10
2016-6-30,8:50 AM,84 °F,42 %,6 mph,0.0 in,Fair,10
2016-6-30,9:04 AM,85 °F,41 %,3 mph,0.0 in,Fair,10
2016-6-30,9:24 AM,87 °F,37 %,5 mph,0.0 in,Fair,10
2016-6-30,9:45 AM,90 °F,35 %,5 mph,0.0 in,Fair,10
2016-6-30,9:50 AM,90 °F,33 %,6 mph,0.0 in,Fair,10
2016-6-30,10:04 AM,91 °F,34 %,8 mph,0.0 in,Fair,10
2016-6-30,10:24 AM,93 °F,32 %,3 mph,0.0 in,Fair,10
2016-6-30,10:45 AM,94 °F,32 %,3 mph,0.0 in,Fair,10
2016-6-30,10:50 AM,95 °F,30 %,6 mph,0.0 in,Fair,10
2016-6-30,11:04 AM,96 °F,30 %,8 mph,0.0 in,Fair,10
2016-6-30,11:24 AM,98 °F,27 %,6 mph,0.0 in,Fair,10
2016-6-30,11:45 AM,98 °F,28 %,5 mph,0.0 in,Fair,10
2016-6-30,11:47 AM,99 °F,27 %,7 mph,0.0 in,Fair,10
2016-6-30,12:04 PM,99 °F,27 %,6 mph,0.0 in,Fair,10
2016-6-30,12:24 PM,101 °F,25 %,10 mph,0.0 in,Fair,10
2016-6-30,12:45 PM,101 °F,25 %,7 mph,0.0 in,Fair,10
2016-6-30,12:50 PM,100 °F,25 %,7 mph,0.0 in,Haze,10
2016-6-30,1:04 PM,102 °F,23 %,9 mph,0.0 in,Fair,10
2016-6-30,1:24 PM,102 °F,23 %,14 mph,0.0 in,Fair,10
2016-6-30,1:45 PM,102 °F,21 %,16 mph,0.0 in,Fair,10
2016-6-30,1:50 PM,102 °F,21 %,14 mph,0.0 in,Haze,10
2016-6-30,2:04 PM,102 °F,21 %,13 mph,0.0 in,Fair,10
2016-6-30,2:24 PM,101 °F,22 %,14 mph,0.0 in,Fair,10
2016-6-30,2:45 PM,100 °F,23 %,16 mph,0.0 in,Fair,10
2016-6-30,2:50 PM,100 °F,22 %,16 mph,0.0 in,Haze,10
2016-6-30,3:04 PM,101 °F,22 %,14 mph,0.0 in,Fair,10
2016-6-30,3:24 PM,98 °F,23 %,13 mph,0.0 in,Fair,10
2016-6-30,3:40 PM,97 °F,23 %,0 mph,0.0 in,Fair,10
2016-6-30,3:44 PM,97 °F,23 %,14 mph,0.0 in,Fair,10
2016-6-30,4:05 PM,96 °F,24 %,14 mph,0.0 in,Fair,10
2016-6-30,4:24 PM,95 °F,25 %,14 mph,0.0 in,Fair,10
2016-6-30,4:44 PM,94 °F,26 %,10 mph,0.0 in,Fair,10
2016-6-30,4:49 PM,93 °F,26 %,13 mph,0.0 in,Fair,10
2016-6-30,5:05 PM,93 °F,27 %,13 mph,0.0 in,Fair,10
2016-6-30,5:24 PM,92 °F,29 %,10 mph,0.0 in,Fair,10
2016-6-30,5:44 PM,91 °F,31 %,13 mph,0.0 in,Fair,10
2016-6-30,5:47 PM,90 °F,31 %,10 mph,0.0 in,Fair,10
2016-6-30,6:05 PM,88 °F,35 %,12 mph,0.0 in,Fair,10
2016-6-30,6:24 PM,87 °F,37 %,8 mph,0.0 in,Fair,10
2016-6-30,6:44 PM,85 °F,40 %,10 mph,0.0 in,Fair,10
2016-6-30,6:50 PM,75 °F,53 %,9 mph,0.0 in,Fair,10
2016-6-30,7:04 PM,83 °F,43 %,8 mph,0.0 in,Fair,10
2016-6-30,7:24 PM,82 °F,45 %,9 mph,0.0 in,Fair,10
2016-6-30,7:44 PM,81 °F,47 %,9 mph,0.0 in,Fair,10
2016-6-30,8:04 PM,80 °F,49 %,8 mph,0.0 in,Fair,10
2016-6-30,8:25 PM,79 °F,51 %,6 mph,0.0 in,Fair,10
2016-6-30,8:44 PM,79 °F,51 %,6 mph,0.0 in,Fair,10
2016-6-30,9:04 PM,78 °F,53 %,8 mph,0.0 in,Fair,10
2016-6-30,9:25 PM,77 °F,55 %,7 mph,0.0 in,Fair,10
2016-6-30,9:44 PM,76 °F,57 %,7 mph,0.0 in,Fair,10
2016-6-30,10:04 PM,75 °F,59 %,7 mph,0.0 in,Fair,10
2016-6-30,10:25 PM,74 °F,61 %,7 mph,0.0 in,Fair,10
2016-6-30,10:44 PM,73 °F,63 %,6 mph,0.0 in,Fair,10
2016-7-1,11:04 PM,73 °F,65 %,7 mph,0.0 in,Fair,10
2016-7-1,11:25 PM,72 °F,67 %,9 mph,0.0 in,Fair,10
2016-7-1,11:44 PM,71 °F,69 %,7 mph,0.0 in,Fair,10
2016-7-1,12:04 AM,71 °F,70 %,8 mph,0.0 in,Fair,10
2016-7-1,12:25 AM,70 °F,72 %,6 mph,0.0 in,Fair,10
2016-7-1,12:44 AM,70 °F,73 %,6 mph,0.0 in,Fair,10
2016-7-1,1:04 AM,69 °F,74 %,5 mph,0.0 in,Fair,10
2016-7-1,1:25 AM,69 °F,75 %,6 mph,0.0 in,Fair,10
2016-7-1,1:44 AM,69 °F,75 %,3 mph,0.0 in,Fair,10
2016-7-1,2:04 AM,69 °F,75 %,0 mph,0.0 in,Fair,10
2016-7-1,2:25 AM,69 °F,76 %,0 mph,0.0 in,Fair,10
2016-7-1,2:44 AM,68 °F,77 %,0 mph,0.0 in,Fair,10
2016-7-1,3:04 AM,68 °F,77 %,3 mph,0.0 in,Fair,10
2016-7-1,3:25 AM,68 °F,78 %,3 mph,0.0 in,Fair,10
2016-7-1,3:44 AM,68 °F,78 %,3 mph,0.0 in,Fair,10
2016-7-1,4:04 AM,68 °F,79 %,3 mph,0.0 in,Fair,10
2016-7-1,4:24 AM,68 °F,79 %,0 mph,0.0 in,Fair,10
2016-7-1,4:45 AM,67 °F,79 %,3 mph,0.0 in,Fair,10
2016-7-1,5:04 AM,67 °F,80 %,0 mph,0.0 in,Fair,10
2016-7-1,5:24 AM,68 °F,79 %,0 mph,0.0 in,Fair,10
2016-7-1,5:44 AM,69 °F,77 %,3 mph,0.0 in,Fair,10
2016-7-1,6:04 AM,70 °F,75 %,0 mph,0.0 in,Fair,10
2016-7-1,6:24 AM,71 °F,72 %,0 mph,0.0 in,Fair,10
2016-7-1,6:45 AM,72 °F,70 %,0 mph,0.0 in,Fair,10
2016-7-1,6:48 AM,73 °F,73 %,0 mph,0.0 in,Haze,10
2016-7-1,7:04 AM,74 °F,66 %,0 mph,0.0 in,Fair,10
2016-7-1,7:24 AM,74 °F,64 %,3 mph,0.0 in,Fair,10
2016-7-1,7:45 AM,76 °F,61 %,5 mph,0.0 in,Haze,10
2016-7-1,7:49 AM,75 °F,69 %,7 mph,0.0 in,Haze,10
2016-7-1,8:04 AM,77 °F,58 %,0 mph,0.0 in,Fair,10
2016-7-1,8:24 AM,78 °F,57 %,6 mph,0.0 in,Fair,10
2016-7-1,8:45 AM,79 °F,55 %,7 mph,0.0 in,Fair,10
2016-7-1,8:46 AM,82 °F,54 %,9 mph,0.0 in,Haze,10
2016-7-1,9:04 AM,80 °F,53 %,3 mph,0.0 in,Fair,10
2016-7-1,9:24 AM,82 °F,49 %,5 mph,0.0 in,Fair,10
2016-7-1,9:45 AM,84 °F,46 %,7 mph,0.0 in,Fair,10
2016-7-1,9:47 AM,84 °F,45 %,7 mph,0.0 in,Haze,10
2016-7-1,10:04 AM,86 °F,42 %,7 mph,0.0 in,Fair,10
2016-7-1,10:17 AM,88 °F,38 %,10 mph,0.0 in,Haze,10
2016-7-1,10:24 AM,87 °F,40 %,9 mph,0.0 in,Fair,10
2016-7-1,10:45 AM,88 °F,39 %,12 mph,0.0 in,Fair,10
2016-7-1,11:04 AM,90 °F,36 %,9 mph,0.0 in,Fair,10
2016-7-1,11:24 AM,91 °F,35 %,7 mph,0.0 in,Fair,10
2016-7-1,11:45 AM,93 °F,33 %,8 mph,0.0 in,Fair,10
2016-7-1,12:04 PM,93 °F,33 %,12 mph,0.0 in,Fair,10
2016-7-1,12:24 PM,94 °F,31 %,9 mph,0.0 in,Fair,10
2016-7-1,12:45 PM,94 °F,31 %,7 mph,0.0 in,Fair,10
2016-7-1,12:47 PM,93 °F,32 %,12 mph,0.0 in,Haze,10
2016-7-1,1:04 PM,95 °F,29 %,13 mph,0.0 in,Fair,10
2016-7-1,1:24 PM,94 °F,30 %,9 mph,0.0 in,Fair,10
2016-7-1,1:44 PM,95 °F,29 %,12 mph,0.0 in,Fair,10
2016-7-1,2:05 PM,95 °F,28 %,13 mph,0.0 in,Fair,10
2016-7-1,2:25 PM,94 °F,29 %,14 mph,0.0 in,Fair,10
2016-7-1,2:44 PM,94 °F,28 %,14 mph,0.0 in,Fair,10
2016-7-1,2:49 PM,93 °F,28 %,13 mph,0.0 in,Fair,10
2016-7-1,3:05 PM,93 °F,27 %,15 mph,0.0 in,Fair,10
2016-7-1,3:24 PM,93 °F,26 %,12 mph,0.0 in,Fair,10
2016-7-1,3:44 PM,93 °F,26 %,13 mph,0.0 in,Fair,10
2016-7-1,3:48 PM,93 °F,26 %,12 mph,0.0 in,Haze,10
2016-7-1,4:05 PM,92 °F,27 %,12 mph,0.0 in,Fair,10
2016-7-1,4:24 PM,92 °F,26 %,10 mph,0.0 in,Fair,10
2016-7-1,4:45 PM,91 °F,28 %,12 mph,0.0 in,Fair,10
2016-7-1,4:47 PM,91 °F,28 %,10 mph,0.0 in,Haze,10
2016-7-1,5:05 PM,91 °F,28 %,13 mph,0.0 in,Fair,10
2016-7-1,5:24 PM,91 °F,29 %,10 mph,0.0 in,Fair,10
2016-7-1,5:44 PM,89 °F,33 %,13 mph,0.0 in,Fair,10
2016-7-1,5:50 PM,88 °F,35 %,13 mph,0.0 in,Fair,10
2016-7-1,6:05 PM,87 °F,36 %,14 mph,0.0 in,Fair,10
2016-7-1,6:24 PM,85 °F,40 %,13 mph,0.0 in,Fair,10
2016-7-1,6:45 PM,82 °F,44 %,13 mph,0.0 in,Fair,10
2016-7-1,6:50 PM,81 °F,48 %,12 mph,0.0 in,Fair,10
2016-7-1,7:24 PM,79 °F,51 %,9 mph,0.0 in,Fair,10
2016-7-1,7:45 PM,78 °F,53 %,8 mph,0.0 in,Fair,10
2016-7-1,7:47 PM,77 °F,54 %,8 mph,0.0 in,Fair,10
2016-7-1,8:04 PM,77 °F,54 %,9 mph,0.0 in,Fair,10
2016-7-1,8:25 PM,76 °F,56 %,9 mph,0.0 in,Fair,10
2016-7-1,8:45 PM,75 °F,58 %,8 mph,0.0 in,Fair,10
2016-7-1,9:04 PM,74 °F,60 %,7 mph,0.0 in,Fair,10
2016-7-1,9:25 PM,73 °F,61 %,7 mph,0.0 in,Fair,10
2016-7-1,9:44 PM,73 °F,62 %,7 mph,0.0 in,Fair,10
2016-7-1,10:04 PM,71 °F,64 %,7 mph,0.0 in,Fair,10
2016-7-1,10:25 PM,70 °F,66 %,7 mph,0.0 in,Fair,10
2016-7-1,10:44 PM,70 °F,68 %,8 mph,0.0 in,Fair,10
2016-7-2,11:04 PM,69 °F,69 %,8 mph,0.0 in,Fair,10
2016-7-2,11:25 PM,69 °F,70 %,8 mph,0.0 in,Fair,10
2016-7-2,11:44 PM,68 °F,72 %,6 mph,0.0 in,Fair,10
2016-7-2,12:04 AM,67 °F,73 %,3 mph,0.0 in,Fair,10
2016-7-2,12:25 AM,67 °F,74 %,7 mph,0.0 in,Fair,10
2016-7-2,12:44 AM,67 °F,74 %,5 mph,0.0 in,Fair,10
2016-7-2,1:04 AM,66 °F,76 %,6 mph,0.0 in,Fair,10
2016-7-2,1:25 AM,66 °F,77 %,5 mph,0.0 in,Fair,10
2016-7-2,1:44 AM,65 °F,78 %,5 mph,0.0 in,Fair,10
2016-7-2,2:04 AM,65 °F,78 %,5 mph,0.0 in,Fair,10
2016-7-2,2:25 AM,65 °F,79 %,3 mph,0.0 in,Fair,10
2016-7-2,2:44 AM,65 °F,80 %,5 mph,0.0 in,Fair,10
2016-7-2,3:04 AM,64 °F,80 %,6 mph,0.0 in,Fair,10
2016-7-2,3:25 AM,64 °F,81 %,5 mph,0.0 in,Fair,10
2016-7-2,3:44 AM,64 °F,81 %,6 mph,0.0 in,Fair,10
2016-7-2,4:04 AM,63 °F,83 %,5 mph,0.0 in,Fair,10
2016-7-2,4:25 AM,63 °F,84 %,0 mph,0.0 in,Fair,10
2016-7-2,4:44 AM,64 °F,83 %,0 mph,0.0 in,Fair,10
2016-7-2,5:04 AM,64 °F,83 %,0 mph,0.0 in,Fair,10
2016-7-2,5:25 AM,63 °F,84 %,3 mph,0.0 in,Fair,10
2016-7-2,5:44 AM,64 °F,82 %,0 mph,0.0 in,Fair,10
2016-7-2,5:50 AM,64 °F,83 %,0 mph,0.0 in,Haze,10
2016-7-2,6:04 AM,65 °F,79 %,3 mph,0.0 in,Fair,10
2016-7-2,6:25 AM,66 °F,77 %,3 mph,0.0 in,Partly Cloudy,10
2016-7-2,6:44 AM,67 °F,74 %,3 mph,0.0 in,Fair,10
2016-7-2,6:48 AM,66 °F,78 %,0 mph,0.0 in,Haze,10
2016-7-2,7:05 AM,68 °F,72 %,0 mph,0.0 in,Fair,10
2016-7-2,7:25 AM,69 °F,69 %,3 mph,0.0 in,Fair,10
2016-7-2,7:44 AM,70 °F,67 %,3 mph,0.0 in,Fair,10
2016-7-2,7:50 AM,72 °F,64 %,3 mph,0.0 in,Haze,10
2016-7-2,8:05 AM,72 °F,62 %,3 mph,0.0 in,Fair,10
2016-7-2,8:24 AM,74 °F,58 %,0 mph,0.0 in,Fair,10
